Questions,Security Compliance Attempts,Report Containing Feature,Evidence/Link
Ensure multi-factor authentication (MFA) is enabled for all IAM users that have a console password,PCI-DSS,,
Ensure console credentials unused for 90 days or greater are disabled,,,
Ensure access keys unused for 90 days or greater are disabled,,,
Ensure access key1 is rotated every 90 days or less,,,
Ensure access key2 is rotated every 90 days or less,,,
Ensure IAM Password Policy is Enabled,,,
Ensure IAM password policy requires at least one uppercase letter,,,
Ensure IAM password policy require at least one lowercase letter,,,
Ensure IAM password policy require at least one symbol,,,
Ensure IAM password policy require at least one number,,,
Ensure IAM password policy requires minimum length of 14 or greater,,,
Ensure IAM password policy prevents password reuse,,,
Ensure IAM password policy expires passwords within 90 days or less,,,
Ensure no root account access key exists,,,
 Ensure MFA is enabled for the root account,,,
 Ensure hardware MFA is enabled for the root account,,,
Ensure IAM policies are attached only to groups or roles,,,
Eliminate use of the root user for administrative and daily tasks,,,
Ensure CloudTrail is enabled in all regions,,,
Ensure CloudTrail log file validation is enabled,,,
Ensure the S3 bucket used to store CloudTrail logs is not publicly accessible,,,
Ensure CloudTrail trails are integrated with CloudWatch Logs,,,
Ensure AWS Config is enabled in all regions,,,
Ensure S3 bucket access logging is enabled on the CloudTrail S3 bucket,,,
Ensure CloudTrail logs are encrypted at rest using KMS CMKs,,,
Ensure rotation for customer created symmetric CMKs is enabled,,,
Ensure a log metric filter and alarm exist for unauthorized API calls,,,
Ensure a log metric filter and alarm exist for Management Console sign-in without MFA,,,
Ensure a log metric filter and alarm exist for usage of root account,,,
Ensure a log metric filter and alarm exist for IAM policy changes,,,
Ensure a log metric filter and alarm exist for CloudTrail configuration changes,,,
Ensure a log metric filter and alarm exist for AWS Management Console authentication failures,,,
Ensure a log metric filter and alarm exist for disabling or scheduled deletion of customer created CMKs,,,
Ensure a log metric filter and alarm exist for S3 bucket policy changes,,,
Ensure a log metric filter and alarm exist for AWS Config configuration changes,,,
Ensure a log metric filter and alarm exist for security group changes,,,
Ensure a log metric filter and alarm exist for changes to Network Access Control Lists (NACL),,,
Ensure a log metric filter and alarm exist for changes to network gateways,,,
Ensure a log metric filter and alarm exist for route table changes,,,
Ensure a log metric filter and alarm exist for VPC changes,,,
Ensure no security groups allow ingress from 0.0.0.0/0 to port 22,,,
Ensure no security groups allow ingress from 0.0.0.0/0 to port 3389,,,
Ensure VPC flow logging is enabled in all VPCs,,,
Ensure the default security group of every VPC restricts all traffic,,,
S3 Bucket Access Control List Grant Access to Everyone or Authenticated Users,,,
S3 Bucket Policy Grant Access to Everyone,,,
Ensure access logging is enabled for S3 buckets,,,
Ensure versioning is enabled for S3 buckets,,,
Ensure a support role has been created to manage incidents with AWS Support,,,
Ensure IAM policies that allow full administrative privileges are not created,,,
Ensure that Public Accessibility is set to No for Database Instances,,,
Ensure DB snapshot is not publicly visible,,,
Ensure Encryption is enabled for the RDS database Instance,,,
Ensure database Instance snapshot is encrypted,,,
Ensure auto minor version upgrade is enabled for a RDS Database Instance,,,
Ensure database Instance is not listening on to a standard/default port,,,
Ensure S3 Bucket Policy is set to deny HTTP requests,,,
Ensure that the key expiry is set for CMK with external key material,,,
Ensure Block new public bucket policies for a bucket is set to true,,,
Ensure that Block public and cross-account access if bucket has public policies for bucket is set to true,,,
Ensure that Block new public ACLs and uploading public objects for a bucket is set to true.,,,
Ensure that Remove public access granted through public ACLs for a bucket is set to true,,,
Ensure Block new public bucket policies for an account is set to true,,,
Ensure that Block public and cross-account access if bucket has public policies for the account is set to true,,,
