Item Number,Context
1,DO OBJETO
1.1,O objeto da presente licitação é a escolha da proposta mais vantajosa para a contratação de solução para desenvolvimento e gestão de aplicações baseada em
1.2,"A licitação será dividida em grupos, formados por um ou mais itens, conforme tabela constante do Termo de Referência, facultando-se ao licitante a"
1.3,"O critério de julgamento adotado será o menor preço GLOBAL do grupo, observadas as exigências con Ɵdas neste Edital e seus Anexos quanto às especiﬁcações"
1.4,"Cada serviço ou produto do lote deverá estar discriminado em itens separados nas propostas de preços, de modo a permi Ɵr a idenƟﬁcação do seu preço"
2,DOS RECURSOS ORÇAMENTÁRIOS
2.1,"As despesas para atender a esta licitação estão programadas em dotação orçamentária própria, prevista no orçamento da União para o exercício de 2023 a"
3,DO CREDENCIAMENTO
3.1,"O Credenciamento é o nível básico do registro cadastral no SICAF, que permite a par Ɵcipação dos interessados na modalidade licitatória Pregão, em sua forma"
3.2,"O cadastro no SICAF deverá ser feito no Portal de Compras do Governo Federal, no sí Ɵo hƩps://www.gov.br/compras/pt-br/  por meio de cer Ɵﬁcado digital"
3.4,"O licitante responsabiliza-se exclusiva e formalmente pelas transações efetuadas em seu nome, assume como ﬁrmes e verdadeiras suas propostas e seus"
3.5,É de responsabilidade do cadastrado conferir a exa Ɵdão dos seus dados cadastrais no SICAF e mantê-los atualizados junto aos órgãos responsáveis pela
3.5.1,A não observância do disposto no subitem anterior poderá ensejar desclassiﬁcação no momento da habilitação.
4,DA PARTICIPAÇÃO NO PREGÃO.
4.1,"Poderão par Ɵcipar deste Pregão interessados cujo ramo de a Ɵvidade seja compa ơvel com o objeto desta licitação, e que estejam com Credenciamento regular"
4.1.1,Os licitantes deverão u Ɵlizar o cer Ɵﬁcado digital para acesso ao Sistema
4.1.2,"Será concedido tratamento favorecido para as microempresas e empresas de pequeno porte, para as sociedades coopera Ɵvas mencionadas no ar Ɵgo 34"
4.2,Não poderão par Ɵcipar desta licitação os interessados:
4.2.1,"proibidos de par Ɵcipar de licitações e celebrar contratos administra Ɵvos, na forma da legislação vigente;"
4.2.2,que não atendam às condições deste Edital e seu(s) anexo(s);
4.2.3,estrangeiros que não tenham representação legal no Brasil com poderes expressos para receber citação e responder administra Ɵva ou judicialmente;
4.2.4,"que se enquadrem nas vedações previstas no ar Ɵgo 9º da Lei nº 8.666, de 1993;"
4.2.5,"que estejam sob falência, concurso de credores ou insolvência, em processo de dissolução ou liquidação;"
4.2.6,en Ɵdades empresariais que estejam reunidas em consórcio;
4.2.7,"organizações da Sociedade Civil de Interesse Público - OSCIP, atuando nessa condição (Acórdão nº 746/2014-TCU-Plenário);"
4.2.8,"sociedades coopera Ɵvas, considerando a vedação con Ɵda no art. 10 da Instrução Norma Ɵva SEGES/MP nº 5, de 2017."
4.3,"Nos termos do art. 5º do Decreto nº 9.507, de 2018, é vedada a contratação de pessoa jurídica na qual haja administrador ou sócio com poder de direção,"
4.3.1,"Para os ﬁns do disposto neste item , considera-se familiar o cônjuge, o companheiro ou o parente em linha reta ou colateral, por consanguinidade ou"
4.4,"Nos termos do art. 7° do Decreto n° 7.203, de 2010, é vedada, ainda, a u Ɵlização, na execução dos serviços contratados, de empregado da futura Contratada"
4.5,"Como condição para par Ɵcipação no Pregão, o licitante assinalará “sim” ou “não” em campo próprio do sistema eletrônico, rela Ɵvo às seguintes declarações:"
4.5.1,"que cumpre os requisitos estabelecidos no ar Ɵgo 3° da Lei Complementar nº 123, de 2006, estando apto a usufruir do tratamento favorecido estabelecido"
4.5.1.1,"nos itens exclusivos para par Ɵcipação de microempresas e empresas de pequeno porte, a assinalação do campo “não” impedirá o prosseguimento"
4.5.1.2,"nos itens em que a par Ɵcipação não for exclusiva para microempresas e empresas de pequeno porte, a assinalação do campo “não” apenas"
4.5.2,que está ciente e concorda com as condições con Ɵdas no Edital e seus anexos;
4.5.3,que cumpre os requisitos para a habilitação deﬁnidos no Edital e que a proposta apresentada está em conformidade com as exigências editalícias;
4.5.4,"que inexistem fatos impedi Ɵvos para sua habilitação no certame, ciente da obrigatoriedade de declarar ocorrências posteriores;"
4.5.5,"que não emprega menor de 18 anos em trabalho noturno, perigoso ou insalubre e não emprega menor de 16 anos, salvo menor, a par Ɵr de 14 anos, na"
4.5.6,que a proposta foi elaborada de forma independente;
4.5.7,"que não possui, em sua cadeia produ Ɵva, empregados executando trabalho degradante ou forçado, observando o disposto nos incisos III e IV do art. 1º e"
4.5.8,que a solução é fornecida por empresas que comprovem cumprimento de reserva de cargos prevista em lei para pessoa com deﬁciência ou para
4.5.9,"que cumpre os requisitos do Decreto n. 7.174, de 2010, estando apto a usufruir dos critérios de preferência."
4.5.9.1,"a assinalação do campo “não” apenas produzirá o efeito de o licitante não ter direito ao tratamento favorecido previsto no Decreto nº 7.174, de"
4.6,A declaração falsa rela Ɵva ao cumprimento de qualquer condição sujeitará o licitante às sanções previstas em lei e neste Edital.
5,DA APRESENTAÇÃO DA PROPOSTA E DOS DOCUMENTOS DE HABILITAÇÃO
5.1,"Os licitantes encaminharão, exclusivamente por meio do sistema, concomitantemente com os documentos de habilitação exigidos no edital, proposta com a"
5.2,"O envio da proposta, acompanhada dos documentos de habilitação exigidos neste Edital, ocorrerá por meio de chave de acesso e senha."
5.3,"Os licitantes poderão deixar de apresentar os documentos de habilitação que constem do SICAF, assegurado aos demais licitantes o direito de acesso aos dados"
5.4,"As Microempresas e Empresas de Pequeno Porte deverão encaminhar a documentação de habilitação, ainda que haja alguma restrição de regularidade ﬁscal e"
5.5,"Incumbirá ao licitante acompanhar as operações no sistema eletrônico durante a sessão pública do Pregão, ﬁcando responsável pelo ônus decorrente da perda"
5.7,"Não será estabelecida, nessa etapa do certame, ordem de classiﬁcação entre as propostas apresentadas, o que somente ocorrerá após a realização dos"
5.8,Os documentos que compõem a proposta e a habilitação do licitante melhor classiﬁcado somente serão disponibilizados para avaliação do pregoeiro e para
6,DO PREENCHIMENTO DA PROPOSTA
6.1,"O licitante deverá enviar sua proposta mediante o preenchimento, no sistema eletrônico, dos seguintes campos:"
6.1.1,Valor unitário e global de cada item do grupo;
6.1.2,"Descriçãodo objeto, contendo as informações similares à especiﬁcação do Termo de Referência."
6.2,Todas as especiﬁcações do objeto con Ɵdas na proposta vinculam a Contratada.
6.3,"Nos valores propostos estarão inclusos todos os custos operacionais, encargos previdenciários, trabalhistas, tributários, comerciais e quaisquer outros que"
6.3.1,"A Contratada deverá arcar com o ônus decorrente de eventual equívoco no dimensionamento dos quan ƟtaƟvos de sua proposta, inclusive quanto aos"
6.3.2,"Caso o eventual equívoco no dimensionamento dos quan ƟtaƟvos se revele superior às necessidades da contratante, a Administração deverá efetuar o"
6.4,A empresa é a única responsável pela cotação correta dos encargos tributários. Em caso de erro ou cotação incompa ơvel com o regime tributário a que se
6.4.1,cotação de percentual menor que o adequado: o percentual será man Ɵdo durante toda a execução contratual;
6.4.2,"cotação de percentual maior que o adequado: o excesso será suprimido, unilateralmente, da planilha e haverá glosa, quando do pagamento, e/ou"
6.5,"Se o regime tributário da empresa implicar o recolhimento de tributos em percentuais variáveis, a cotação adequada será a que corresponde à média dos"
6.6,"Independentemente do percentual de tributo inserido na planilha, no pagamento dos serviços, serão re Ɵdos na fonte os percentuais estabelecidos na"
6.7,"A apresentação das propostas implica obrigatoriedade do cumprimento das disposições nelas con Ɵdas, em conformidade com o que dispõe o Termo de"
6.8,"Os preços ofertados, tanto na proposta inicial, quanto na etapa de lances, serão de exclusiva responsabilidade do licitante, não lhe assis Ɵndo o direito de"
6.9,"O prazo de validade da proposta não será inferior a 60 (sessenta) dias, a contar da data de sua apresentação."
6.10,"Os licitantes devem respeitar os preços máximos estabelecidos nas normas de regência de contratações públicas federais, quando par Ɵciparem de licitações"
6.10.1,O descumprimento das regras supramencionadas pela Administração por parte dos contratados pode ensejar a responsabilização pelo Tribunal de Contas
7,"ABERTURA DA SESSÃO, CLASSIFICAÇÃO DAS PROPOSTAS E FORMULAÇÃO DE LANCES"
7.1,"A abertura da presente licitação dar-se-á em sessão pública, por meio de sistema eletrônico, na data, horário e local indicados neste Edital."
7.2,"O Pregoeiro veriﬁcará as propostas apresentadas, desclassiﬁcando desde logo aquelas que não estejam em conformidade com os requisitos estabelecidos"
7.2.1,Também será desclassiﬁcada a proposta que idenƟﬁque o licitante.
